FacilityName,FacilityAddress,ViolationDate,Violation,Disposition,DispositionDate
CALIFORNIA PIZZA KITCHEN,"136 BOARDWALK PLACE , GAITHERSBURG, MD 20878",5/19/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,7/5/2016
THE GREENE TURTLE,"19961 CENTURY BOULEVARD , GERMANTOWN, MD 20874",11/11/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/2/2016
CHIPOTLE MEXICAN GRILL,"7624 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",3/31/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,6/24/2016
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",11/23/2016,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,1/24/2017
LESAAC CAFE,"8200 FENTON STREET , SILVER SPRING, MD 20910",5/18/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,6/23/2016
MOGOTILLO RESTAURANT,"7637 NEW HAMPSHIRE AVENUE , TAKOMA PARK, MD 20912",6/26/2015,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,HEARING; $500 FINE,2/19/2016
FOUR U,"8120 PINEY BRANCH ROAD , SILVER SPRING, MD 20910",3/31/2016,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/11/2016
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",9/9/2016,FAILURE TO PURCHASE FROM APPROVED SOURCE,SETTLED; $1800.00 + ALERT,10/18/2016
THAI TANIUM,"657 CENTER POINT WAY , GAITHERSBURG, MD 20878",6/8/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/17/2016
SUSHI KO,"5455 WISCONSIN AVENUE , CHEVY CHASE, MD 20815",12/14/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/6/2017
& PIZZA,"19823 CENTURY BOULEVARD , GERMANTOWN, MD 20874",11/11/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/3/2017
GUAPO'S,"411 NORTH FREDERICK AVE , GAITHERSBURG, MD 20878",6/1/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,7/5/2016
CHIPOTLE MEXICAN GRILL,"4471 WILLIARD AVENUE , CHEVY CHASE, MD 20815",12/14/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/29/2016
JAVA NATION,"10516 CONNECTICUT , KENSINGTON, MD 20895",6/22/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,9/6/2016
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",6/9/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,8/16/2016
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",1/3/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; TWO WEEK SUSPENSION,9/15/2016
LA CASITA,"2 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",11/18/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/19/2016
GREATEST AMERICAN HOT DOGS,"7206 MUNCASTER MILL ROAD , DERWOOD, MD 20855",6/1/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,8/18/2016
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",8/27/2015,SALE TO MINOR,SETTLED; $2500 + ALERT,1/20/2016
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",1/29/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,5/31/2016
"BEER, WINE & CO","7029 WISCONSIN AVENUE , CHEVY CHASE, MD 20815",12/7/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,1/10/2017
HILLANDALE BEER & WINE,"10117 NEW HAMPSHIRE AVE. , SILVER SPRING, MD 20903",2/11/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/11/2016
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",7/29/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.0 + ALERT,9/6/2016
KOI ASIAN CUISINE,"12046 CHERRY HILL ROAD , SILVER SPRING, MD 20904",4/26/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/23/2016
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",12/7/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; TWO DAY SUSPENSION,2/2/2017
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",12/7/2016,SALE TO MINOR,HEARING; FIVE DAY SUSPENSION,2/2/2017
TWINBROOK DELICATESSEN,"2208 VEIRS MILL ROAD , ROCKVILLE, MD 20851",12/30/2016,SALE TO MINOR,SETTLED; $2500.00,2/3/2017
QUICK STOP BEER & WINE,"21101 FREDERICK AVENUE , GERMANTOWN, MD 20876",1/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/3/2017
GREGORIO'S TRATTORIA,"7745 TUCKERMAN LANE , POTOMAC, MD 20854",1/11/2017,SALE TO MINOR,SETTLED: $1000.00 + ALERT,2/1/2017
FAMOUS DAVE'S,"20650 SENECA MEADOWS PKWY , GERMANTOWN, MD 20876",1/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/3/2017
RUBY TUESDAY,"19800 CENTURY BLVD. , GERMANTOWN, MD 20874",11/11/2016,SALE TO MINOR,"HEARING; $8,000 FINE",1/19/2017
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",12/7/2016,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,HEARING; $500 FINE,2/2/2017
BOMBAY BISTRO,"98 W. MONTGOMERY AVE. , ROCKVILLE, MD 20850",1/27/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/8/2017
THE GRILLED OYSTER COMPANY,"7943 TUCKERMAN LANE , POTOMAC, MD 20854",1/11/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/9/2017
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",12/14/2016,SALE TO MINOR,SETTLED; $1000.00,2/9/2017
THE BARKING DOG,"4723 ELM STREET , BETHESDA, MD 20814",1/8/2016,SALE TO MINOR,"HEARING, $9,000 FINE (6 SALES TO MINORS)",6/16/2016
TYBER BIERHAUS,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",1/6/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,2/13/2017
DA MARCO,"20630 SENECA MEADOWS PKWY , GERMANTOWN, MD 20876",1/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/13/2017
"MILESTONE BEER, WINE & DELI","21030 FREDERICK ROAD D, GERMANTOWN, MD 20876",12/2/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/10/2017
LAHINCH TAVERN & GRILL,"7747 TUCKERMAN LANE , POTOMAC, MD 20854",1/11/2017,SALE TO MINOR,SETTLED; $333.00 + ALERT,2/13/2017
MOM'S ORGANIC MARKET,"5556 RANDOLPH ROAD , ROCKVILLE, MD 20852",1/6/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,2/13/2017
WINTHORPE VALENTINE'S COMMUNITY RESTAURANT,"7700 NORFOLK AVENUE , BETHESDA, MD 20814",12/7/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/13/2017
GUDE DELI,"14809 SOUTHLAWN LANE , ROCKVILLE, MD 20850",12/30/2016,SALE TO MINOR,SETTLED; $1000 + ALERT,2/14/2017
DOWNTOWN CROWN WINE & BEER,"303 COPLEY PLACE , GAITHERSBURG, MD 20878",10/24/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00+ ALERT,11/29/2016
FLOR DE LUNA RESTAURANT,"11417 WOODGLEN RD , ROCKVILLE, MD 20852",11/30/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,2/14/2017
SUPER BOWL NOODLE HOUSE,"785 ROCKVILLE PIKE , ROCKVILLE, MD 20852",1/19/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/15/2017
SMASHBURGER,"20640 SENECA MEADOWS PARKWAY D-1, GERMANTOWN, MD 20867",1/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/15/2017
RED ROBIN,"20001 CENTURY BLVD. , GERMANTOWN, MD 20874",1/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/15/2017
SUPER BOWL NOODLE HOUSE,"785 ROCKVILLE PIKE , ROCKVILLE, MD 20852",1/19/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,2/15/2017
SUPER BOWL NOODLE HOUSE,"785 ROCKVILLE PIKE , ROCKVILLE, MD 20852",1/19/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,2/15/2017
IRENE'S PUPUSAS,"12391 GEORGIA AVENUE , SILVER SPRING, MD 20906",12/13/2016,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; $500 FINE + 2 DAY SUSPENSION + ALERT,2/16/2017
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",11/11/2016,SALE/SERVICE TO INTOXICATED PATRON,HEARING; 3 WEEK SUSPENSION + ALCOHOL AWARENESS CERTIFICATION CLASS,2/16/2017
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",11/11/2016,SALE TO MINOR,"HEARING; $1,000 FINE + ALERT",2/16/2017
FAIRFIELD INN-GERMANTOWN,"20025 CENTURY BLVD , GERMANTOWN, MD 20874",1/12/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/16/2017
THE BEER & WINE CELLAR,"146 CONGRESSIONAL LANE , ROCKVILLE, MD 20852",1/27/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/21/2017
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",1/19/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/23/2017
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",1/19/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,2/23/2017
MI RANCHO-ROCKVILLE,"1488 ROCKVILLE PIKE B, ROCKVILLE, MD 20852",2/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/27/2017
DOWNTOWN BEER AND WINE,"5751 E FISHER LANE , ROCKVILLE, MD 20852",12/30/2016,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/28/2017
TIGER BEER WINE DELI,"303 N. WASHINGTON STREET , ROCKVILLE, MD 20850",1/27/2017,SALE TO MINOR,SETTELD; $1000.00 + ALERT,2/27/2017
TARA THAI,"12071 ROCKVILLE PIKE , ROCKVILLE, MD 20852",2/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,2/27/2017
MISO CAFE,"33 MARYLAND AVENUE UNIT E , ROCKVILLE, MD 20850",1/26/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,2/27/2017
FUDDRUCKERS,"1592 ROCKVILLE PIKE A, ROCKVILLE, MD 20852",2/10/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/7/2017
CHUY'S,"12266 ROCKVILLE PIKE , ROCKVILLE, MD 20852",2/10/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/8/2017
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",2/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/10/2017
MODERN MARKET ROCKVILLE,"1627 ROCKVILLE PIKE , ROCKVILLE, MD 20852",2/10/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/9/2017
MODERN MARKET ROCKVILLE,"1627 ROCKVILLE PIKE , ROCKVILLE, MD 20852",2/10/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,3/9/2017
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",2/3/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,3/10/2017
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",2/3/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,3/10/2017
KING FARM WINE & BEER,"402 KING FARM BLVD., UNIT 100 , ROCKVILLE, MD 20850",1/27/2017,LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00,3/17/2017
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",3/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/17/2017
KING FARM WINE & BEER,"402 KING FARM BLVD., UNIT 100 , ROCKVILLE, MD 20850",1/27/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/17/2017
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",1/27/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,3/21/2017
POTOMAC BEER & WINE,"9700 TRAVILAH GATEWAY DRIVE , ROCKVILLE, MD 20850",3/3/2017,SALE TO MINOR,SETTLED; $1000.00 +ALERT,3/29/2017
HUNAN DELIGHT,"18220 VILLAGE MART DRIVE , OLNEY, MD 20832",3/10/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,3/31/2017
NAGOYA SUSHI,"402 KING FARM BLVD. 130, ROCKVILLE, MD 20850",3/3/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,3/31/2017
EL BOTANERO,"800 PLEASANT DRIVE UNIT 160 , ROCKVILLE, MD 20850",3/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/11/2017
COURTYARD BY MARRIOTT,"2500 RESEARCH BOULEVARD , ROCKVILLE, MD 20850",3/3/2017,SALE TO MINOR,"SETTLED; $1,000 FINE + ALERT",4/12/2017
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",3/13/2017,REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED; $200.00 + ALERT,4/13/2017
LEDO'S LEISURE WORLD,"3850 INTERNATIONAL DRIVE , SILVER SPRING, MD 20906",3/17/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/13/2017
SUSHI OISHII,"9706 TRAVILLE GATEWAY DRIVE , ROCKVILLE, MD 20850",3/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/18/2017
OUTBACK STEAKHOUSE,"13703 GEORGIA AVEUE , SILVER SPRING, MD 20906",3/10/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,4/24/2017
MOBY DICK SEAFOOD,"11220 TRIANGLE LANE , WHEATON, MD 20902",3/31/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/24/2017
LA FOGATA RESTAURANT,"2259 BEL PRE ROAD , SILVER SPRING, MD 20906",3/10/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/24/2017
OUTBACK STEAKHOUSE,"13703 GEORGIA AVEUE , SILVER SPRING, MD 20906",3/10/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/24/2017
LA FOGATA RESTAURANT,"2259 BEL PRE ROAD , SILVER SPRING, MD 20906",3/10/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,4/24/2017
GILLY'S CRAFT BEER & FINE WINE,"2009 CHAPMAN AVENUE , ROCKVILLE, MD 20852",2/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/25/2017
SMASHBURGER (ROCKVILLLE),"1800 ROCKVILLE PIKE , ROCKVILLE, MD 20852",2/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/28/2017
SAFFRON INDIAN CUISINE,"1321 ROCKVILLE PIKE C, ROCKVILLE, MD 20852",3/23/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/1/2017
SARITA'S CHICKEN RESTAURANT,"2545 ENNALLS AVENUE , WHEATON, MD 20904",1/4/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; !00.00 + ALERT,4/28/2017
DOLLAR PLUS STORE #7,"11250 TRIANGLE LANE , SILVER SPRING, MD 20902",3/31/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/28/2017
TARA THAI- MONTGOMERY MALL,"7101 DEMOCRACY BLVD , BETHESDA, MD 20814",1/19/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,5/1/2017
ATTMAN'S DELI,"7913 TUCKERMAN LANE , POTOMAC, MD 20854",2/24/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,5/1/2017
VILLA MAYA RESTAURANT,"5532 NORBECK ROAD , ROCKVILLE, MD 20853",4/7/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,4/28/2017
POCKET BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",3/24/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERTR,5/3/2017
BECLAWS,"2404 UNIVERSITY BOULEVARD , SILVER SPRING, MD 20902",3/31/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/9/2017
BAR LOUIE WHEATON,"11160 VEIRS MILL RD , WHEATON, MD 20902",3/17/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/9/2017
SQUIRES ROCK CREEK CHOPHOUSE,"2405 PRICE AVENUE , WHEATON, MD 20902",4/14/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/10/2017
SIRIWAN THAI RESTAURANT,"736 CLOVERLY STREET , SILVER SPRING, MD 20905",3/24/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/12/2017
SIRIWAN THAI RESTAURANT,"736 CLOVERLY STREET , SILVER SPRING, MD 20905",3/24/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/12/2017
GLENMONT BEER WINE & DELI,"12351 GEORGIA AVE. , WHEATON, MD 20906-3649",3/17/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/16/2017
GLENMONT BEER WINE & DELI,"12351 GEORGIA AVE. , WHEATON, MD 20906-3649",3/17/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/16/2017
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",4/28/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/7/2017
SPICE XING,"100 GIBBS STREET B, ROCKVILL, MD 20850",3/23/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/17/2017
THAI TASTE,"11315 FERN STREET , WHEATON, MD 20902",4/14/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/23/2017
IRENE'S PUPUSAS,"12391 GEORGIA AVENUE , SILVER SPRING, MD 20906",3/17/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/26/2017
NEEDWOOD GOLF COURSE SNACK BAR,"6724 NEEDWOOD ROAD , DERWOOD, MD 20855",4/28/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/25/2017
IRENE'S PUPUSAS,"12391 GEORGIA AVENUE , SILVER SPRING, MD 20906",3/17/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/26/2017
CALIENTE RESTAURANT & BAR,"2442 ENALLS AVENUE , WHEATON, MD 20902",4/14/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,5/25/2017
CALIENTE RESTAURANT & BAR,"2442 ENALLS AVENUE , WHEATON, MD 20902",4/14/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/25/2017
REDGATE GOLF COURSE,"14500 AVERY ROAD , ROCKVILLE, MD 20853",4/28/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/30/2017
GOURMET INSPIRATIONS,"2646 UNIVERSITY BLVD , WHEATON, MD 20902",4/14/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/30/2017
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",4/14/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,5/30/2017
REDGATE GOLF COURSE,"14500 AVERY ROAD , ROCKVILLE, MD 20853",4/28/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,5/30/2017
SOLE D'ITALIA RESTAURANT,"14324 LAYHILL ROAD , SILVER SPRING, MD 20906-1909",3/10/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,5/31/2017
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",3/23/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,6/1/2017
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",4/3/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,6/5/2017
LEDO PIZZA AND PASTA,"1319 ROCKVILLE PIKE H, ROCKVILLE, MD 20852",3/3/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,5/3/2017
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",3/31/2017,SALE TO MINOR,SETTLED; $2500.00 + ALERT,6/9/2017
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",5/10/2017,APPLICATION - FALSE INFORMATION,SETTLED; $1000.00 + ALERT,6/7/2017
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",5/10/2017,APPLICATION - FAILURE TO UPDATE,SETTLED; $2000.00 + ALERT,6/7/2017
ERTA ALE RESTAURANT & CAFE,"2310 PRICE AVENUE , WHEATON, MD 20902",4/3/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,6/15/2017
ERTA ALE RESTAURANT & CAFE,"2310 PRICE AVENUE , WHEATON, MD 20902",3/31/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/15/2017
HOLLYWOOD EAST CAFE - WESTFIELD,"11160 VEIRS MILL ROAD SPACE, 136, WHEATON, MD 20902",3/17/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/5/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",4/7/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,6/20/2017
WOODSIDE DELI,"9329 GEORGIA AVE. , SILVER SPRING, MD 20910",5/17/2017,ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,6/9/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",3/18/2017,PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,SETTLED; $500.00 X 2  = $1000.00 + ALERT,6/20/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",4/7/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/20/2017
ASI ES MI TIERRA,"2559 ENNALLS AVENUE , WHEATON, MD 20902",3/17/2017,SALE TO MINOR,SETTLED; $1000.00 + ALERT,6/8/2017
ASI ES MI TIERRA,"2559 ENNALLS AVENUE , WHEATON, MD 20902",3/17/2017,EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,6/8/2017
